band,wavelength,I_photo_sky,mag_sky,mag_pts
0,4000,0.1534,22.27,21.95
1,4125,0.2052,22.3,21.98
2,4250,0.2221,22.4,22.08
3,4375,0.2557,22.41,22.09
4,4500,0.2999,22.4,22.08
5,4625,0.3221,22.4,22.08
6,4750,0.3342,22.41,22.09
7,4875,0.3399,22.41,22.1
8,5000,0.3358,22.42,22.1
9,5125,0.3294,22.4,22.09
10,5250,0.3244,22.38,22.06
11,5375,0.3163,22.34,22.02
12,5500,0.3945,22.18,21.86
13,5625,0.387,22.12,21.8
14,5750,0.2952,22.2,21.88
15,5875,0.3071,22.12,21.8
16,6000,0.2886,22.09,21.77
17,6125,0.2578,22.09,21.77
18,6250,0.3169,21.91,21.59
19,6375,0.3047,21.86,21.54
20,6500,0.2267,21.94,21.62
21,6625,0.2006,21.92,21.6
22,6750,0.1819,21.87,21.55
23,6875,0.1755,21.76,21.44
24,7000,0.152,21.72,21.4
25,7125,0.1333,21.67,21.35
26,7250,0.1632,21.41,21.1
27,7375,0.1617,21.28,20.96
28,7500,0.1099,21.26,20.94
29,7625,0.09589,21.08,20.76
30,7750,0.1262,20.85,20.53
31,7875,0.1438,20.7,20.38
32,8000,0.1081,20.68,20.37
33,8125,0.06286,20.77,20.45
34,8250,0.07501,20.54,20.23
35,8375,0.1058,20.27,19.95
36,8500,0.08193,20.27,19.95
37,8625,0.06379,20.25,19.94
38,8750,0.09328,19.95,19.63
39,8875,0.1067,19.75,19.43
